CORPORATE_IDENTIFICATION_NUMBER,Company_Name,Company_status,Company_class,Company_Category,Company_sub_category,DATE_OF_REGISTRATION,REGISTERED_STATE,AUTHORIZED_CAP,PAIDUP_CAPITAL,Industrial_Class,PRINCIPAL_BUSINESS_ACTIVITY_AS_PER_CIN,Registered_Office_Address,REGISTRAR_OF_COMPANIES,EMAIL_ADDR,Latest_Year_AR,Latest_Year_BS
U01400ML2009NPL008359,LIVELIHOOD IMPROVEMENT FINANCE COMPANYOF MEGHALAYA,Active,Public,Company limited by Shares,Non-govt company,27-05-09,Meghalaya,160000000,20000000,1400,"Agriculture, hunting and related service activities","MEGHALAYA STATE HOUSING FINANCING CO OPERATIVE SOCIETY LTD NONGRIM HILLS SHILLONG , East Khasi Hills Unclassified ML 793003",RoC-Shillong,lifcomfinance@gmail.com,31-03-19,31-03-16
U01400ML2013PLC008554,FARMVILLE AGROVET LIMITED,Active,Public,Company limited by Shares,Non-govt company,12-09-13,Meghalaya,5000000,2700000,1400,"Agriculture, hunting and related service activities","Arya Samaj Mandir Building G S Road Shillong , East Khasi Hills Unclassified ML 793002",RoC-Shillong,sriagarwal@yahoo.co.in,31-03-18,31-03-18
U01403ML2009PTC008385,RIBHOI FARMING AND FOOD PRODUCTS INDIAPRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,15-10-09,Meghalaya,1000000,380000,1403,"Agriculture, hunting and related service activities","PAHAMSYIEM, MARNGAR, NONGPOH , Ri-Bhoi Unclassified ML 793102",RoC-Shillong,akansanju@gmail.com,NA,NA
U01403ML2010PTC008441,MEGHALAYA AGROVET PRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,20-11-10,Meghalaya,100000000,71300000,1403,"Agriculture, hunting and related service activities","30, LACHUMIERE SHILLONG , Unclassified ML 793001",RoC-Shillong,groupcompliance20@gmail.com,31-03-20,31-03-20
U01403ML2011PLC008455,MEGHA SHINE AGRO COMPANY LIMITED,Strike Off,Public,Company limited by Shares,Non-govt company,02-02-11,Meghalaya,500000,500000,1403,"Agriculture, hunting and related service activities","VILL. DEOSALI P.O. TIKRILLA TURA , West Garo Hills Unclassified ML 794109",RoC-Shillong,d_companymail@yahoo.in,31-03-12,31-03-12
U01403ML2011PLC008459,MEGHALAYA INTENSIVE PLANTATIONS ANDBAMBOOS (INDIA) LIMITED,Active,Public,Company limited by Shares,Non-govt company,04-03-11,Meghalaya,50000000,700000,1403,"Agriculture, hunting and related service activities","SILBON LYNDDOH UMLUR, MAIRANG ROAD., P.O. UMRIT RIBHOI , Ri-Bhoi Unclassified ML 793102",RoC-Shillong,rajendranpd@gmail.com,NA,NA
U01403ML2011PTC008476,VICTORYPLUS (INDIA) PRODUCER COMPANYLIMITED,Strike Off,Private,Company limited by Shares,Non-govt company,08-06-11,Meghalaya,20000000,1000000,1403,"Agriculture, hunting and related service activities","SILBON LYNDDOH UMLUR, MAIRANG ROAD, P.O. UMRIT RIBHOI , Ri-Bhoi Unclassified ML 793102",RoC-Shillong,rajendranpd@gmail.com,NA,NA
U01403ML2012PTC008500,MANNAH PLANTATION PRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,21-05-12,Meghalaya,1500000,200000,1403,"Agriculture, hunting and related service activities","C/O T KHARSHANDI, NEAR COMMUNTIY HALL OXFORD HILLS, KENCHES TRACE, LABEN SHILLONG , East Khasi Hills Unclassified ML 793004",RoC-Shillong,rakesh_marodia@sify.com,NA,NA
U01403ML2013FTC008536,GLOBAL PLANTATIONS (INDIA) PRIVATELIMITED,Strike Off,Private,Company limited by Shares,Subsidiary of Foreign Company,15-03-13,Meghalaya,100000,100000,1403,"Agriculture, hunting and related service activities","Jaiaw Lansonalane Jaiaw Chapel Road Shillong , East Khasi Hills Unclassified ML 793002",RoC-Shillong,shy.chettri@gmail.com,NA,NA
U01409ML1994PLC004165,KLMC DIL VENTURE LTD,Strike Off,Public,Company limited by Shares,Non-govt company,01-07-94,Meghalaya,5000000,1000000,1409,"Agriculture, hunting and related service activities","176 UPPER LACHUMIERE, SHILLONG EAST KHASI HILLS MEGHALAYA , Unclassified ML 793001",RoC-Shillong,albasu@dclgroup.com,31-03-06,31-03-06
U01409ML1995PTC004470,JAINTIA FRUITS CO PVT LTD,Strike Off,Private,Company limited by Shares,Non-govt company,14-06-95,Meghalaya,500000,15000,1409,"Agriculture, hunting and related service activities","KHIMMUSNIANGJOWAI JAINTIA HILLS MEGHALAYA , Unclassified ML 793150",RoC-Shillong,NA,NA,NA
U01409ML2000PTC006291,HIGH LAND AGRICULTURAL & VETERINARY ENTERPRISES PVT LTD,Strike Off,Private,Company limited by Shares,Non-govt company,04-09-00,Meghalaya,1000000,50000,1409,"Agriculture, hunting and related service activities","PAMSAD MAWPYRHUTVILL UMTAR SUB DIVISION PATHERKHAMA , Unclassified ML 793002",RoC-Shillong,NA,NA,NA
U01409ML2007PTC008259,KARBI FARMS PRODUCER COMPANY LIMITED,Active,Private,Company limited by Shares,Non-govt company,18-05-07,Meghalaya,20500000,13604100,1409,"Agriculture, hunting and related service activities","C/O THULE COTTAGE LUMMAWRIE , LAITUMKHRAH SHILLONG , Unclassified ML 793003",RoC-Shillong,ranadhirpal@gmail.com,31-03-13,31-03-13
U01409ML2020PLC013733,ORGANIC PRODUCERS AND EXPORTERSNORTHEAST INDIA LIMITED,Active,Public,Company limited by Shares,Non-govt company,13-08-20,Meghalaya,1000000,1000000,1409,"Agriculture, hunting and related service activities","C/o Baiarlin Warjri Mairang Mairang , West Khasi Hills Unclassified ML 793120",RoC-Shillong,chinmoymoh1@gmail.com,NA,NA
U01820ML2017PTC013645,JIRANG ORGANIC AGRO FARMERS PRODUCERCOMPANY LIMITED,Active,Private,Company limited by Shares,Non-govt company,12-10-17,Meghalaya,1000000,100000,1820,"Agriculture, hunting and related service activities","VILLAGE & P.O.-NEW JIRANG P.S.- KHANAPARA DIST.-MEGHALAYA RI BHOI , Ri-Bhoi Unclassified ML 793102",RoC-Shillong,jirangagro001@yahoo.com,31-03-20,31-03-20
U02001ML1975SGC001611,FOREST DEVELOPMENT CORPN OF MEGHALAYALIMITED,Active,Private,Company limited by Shares,State Govt company,30-01-75,Meghalaya,20000000,19718800,2001,"Forestry, logging and related service activities","LOWER LACHAUMIERE, EAST KHASI HILLS, SHILLONG, , East Khasi Hills Unclassified ML 793001",RoC-Shillong,fdcmltd@yahoo.in,31-03-17,31-03-15
U02004ML2005PTC007742,BAMBOO TEC PRIVATE LIMITED,Strike Off,Private,Company limited by Shares,Non-govt company,12-05-05,Meghalaya,500000,100000,2004,"Forestry, logging and related service activities","KIDS CARE BOARDING SCHOOLUPPER NEW COLONY LAITUMKHRAH SHILLONG , Unclassified ML 793003",RoC-Shillong,rks97cs@yahoo.co.in,NA,NA
U10100ML2007PLC008254,SUTNGA MINERALS DEVELOPMENT COMPANYLIMITED,Strike Off,Public,Company limited by Shares,Non-govt company,24-04-07,Meghalaya,1000000,500000,10100,Mining of coal and lignite; extraction of peat,"ROOM NO 20, MUDA COMPLEX POLICE BAZAR SHILLONG , Unclassified ML 793001",RoC-Shillong,kh_randall8@yahoo.com,31-03-13,31-03-13
U10100ML2007PTC008294,NONGKHLIEH MINES PRIVATE LIMITED.,Active,Private,Company limited by Shares,Non-govt company,29-11-07,Meghalaya,500000,100000,10100,Mining of coal and lignite; extraction of peat,"The ""ARK"" , Near Railway Guest House, Kench's trace, Laban, Shillong , East Khasi Hills Unclassified ML 793004",RoC-Shillong,cmjgroup1@gmail.com,31-03-20,31-03-20
U10100ML2007PTC008295,RATONG MINES PRIVATE LIMITED.,Active,Private,Company limited by Shares,Non-govt company,29-11-07,Meghalaya,500000,100000,10100,Mining of coal and lignite; extraction of peat,"FERNDALE COMPLEX, BLOCK-III CMJ HOUSE, KEATING ROAD SHILLONG , Unclassified ML 793001",RoC-Shillong,cmjgroup1@gmail.com,31-03-20,31-03-20
U10100ML2009PTC008387,N E MINING & CONSTRUCTION PRIVATELIMITED,Active,Private,Company limited by Shares,Non-govt company,19-11-09,Meghalaya,500000,100000,10100,Mining of coal and lignite; extraction of peat,"C/O TLIBON LYNGDOH NONGRAH, NONGPDENG SHILLONG , East Khasi Hills Unclassified ML 793006",RoC-Shillong,ajaykc31@gmail.com,31-03-12,31-03-11
U10100ML2010PTC008435,EASTERN CARBON & ALLIED MINERALS PRIVATE LIMITED,Strike Off,Private,Company limited by Shares,Non-govt company,01-10-10,Meghalaya,1000000,100000,10100,Mining of coal and lignite; extraction of peat,"C/o Mrs. Ahmed, 2nd Floor, Dobhi Ghat Laban Shillong , East Khasi Hills Unclassified ML 793004",RoC-Shillong,ajaydua@gmail.com,31-03-13,31-03-13
U10100ML2013PTC008535,7 WATTS MINING & ENERGIES PRIVATELIMITED,Active,Private,Company limited by Shares,Non-govt company,14-02-13,Meghalaya,100000,100000,10100,Mining of coal and lignite; extraction of peat,"AMAZING GRACE COTTAGE NEXT TO LAW COLLEGE DHANKHETI SHILLONG , East Khasi Hills Unclassified ML 793001",RoC-Shillong,7wattsmining@gmail.com,31-03-20,31-03-20
U10101ML1945PTC000626,ASSAM MINING AND TRADING CO.PVT LTD,Strike Off,Private,Company limited by Shares,Non-govt company,03-11-45,Meghalaya,200000,11000,10101,Mining of coal and lignite; extraction of peat,"LAITKOR SHILLONG MEGHALAYA , East Khasi Hills Unclassified ML 793010",RoC-Shillong,NA,NA,NA
U10101ML1953PTC001035,OSSMELL GIRI & CO PVT LTD,Strike Off,Private,Company limited by Shares,Non-govt company,17-11-53,Meghalaya,100000,21000,10101,Mining of coal and lignite; extraction of peat,"LAWMALI ROAD, SHILLONG , East Khasi Hills Unclassified ML 793001",RoC-Shillong,NA,NA,NA
U10101ML1963PLC001207,KOILAJAN COLLIERIES LIMITED,Strike Off,Public,Company limited by Shares,Non-govt company,23-04-63,Meghalaya,1000000,488000,10101,Mining of coal and lignite; extraction of peat,"UMSOHSUN ROAD, EAST KHASHI HILLS SHILLONG , East Khasi Hills Unclassified ML 793002",RoC-Shillong,NA,NA,NA
U10101ML2003PTC007188,ESS KAY MINING AND CONSTRUCTION PRIVATELIMITED,Active,Private,Company limited by Shares,Non-govt company,19-08-03,Meghalaya,500000,100000,10101,Mining of coal and lignite; extraction of peat,"MAWLAI, NONGKWAR BLOCK XI SHILLONG , East Khasi Hills Unclassified ML 793008",RoC-Shillong,gauraf_14@yahoo.com,31-03-11,31-03-11
