CORPORATE_IDENTIFICATION_NUMBER,Company_Name,Company_status,Company_class,Company_Category,Company_sub_category,DATE_OF_REGISTRATION,REGISTERED_STATE,AUTHORIZED_CAP,PAIDUP_CAPITAL,Industrial_Class,PRINCIPAL_BUSINESS_ACTIVITY_AS_PER_CIN,Registered_Office_Address,REGISTRAR_OF_COMPANIES,EMAIL_ADDR,Latest_Year_AR,Latest_Year_BS,,,
U01100MN2019PTC013984,VERB AGRO PRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,21-11-19,Manipur,1000000,300000,1100,"Agriculture, hunting and related service activities","C/O. N BRAJABIDHU SINGH , IED-II IED-II 29-B-49/3 GHARI IMPHAL , West Imphal Unclassified MN 795001",RoC-Shillong,KUNJACMSPL@GMAIL.COM,31-03-20,31-03-20,,,
U01100MN2019PTC013989,KHANKHO-LOM PRODUCER COMPANY LIMITED,Active,Private,Company limited by Shares,Non-govt company,10-12-19,Manipur,1000000,783000,1100,"Agriculture, hunting and related service activities","M.Thingjabuong Village BPO M. Songgel Churachandpur , Churachandpur Unclassified MN 795128",RoC-Shillong,khankholom@rediffmail.com,31-03-20,31-03-20,,,
U01100MN2020PTC014021,YUMBI AGRO FARMER PRODUCER COMPANYLIMITED,Active,Private,Company limited by Shares,Non-govt company,13-01-20,Manipur,1000000,800000,1100,"Agriculture, hunting and related service activities","POTSANGBAMOMOR SINGH, S/O. P.O. SINGH 14, AWANG SEKMAI BAZAR IMPHAL WEST , West Imphal Unclassified MN 795136",RoC-Shillong,bmtaxation2017@gmail.com,NA,NA,,,
U01100MN2020PTC014032,KAOREL AGRO FARMER PRODUCER COMPANYLIMITED,Active,Private,Company limited by Shares,Non-govt company,27-01-20,Manipur,1000000,800000,1100,"Agriculture, hunting and related service activities","KEISHAM IBEMHAL DEVI, C/O. K. B. SINGH 2ND FLOOR, PASTSOI PART-1 IMPHAL WEST , West Imphal Unclassified MN 795113",RoC-Shillong,dorendroatom77@gmail.com,NA,NA,,,
U01100MN2020PTC014037,THANGCHING ORGANIC PRODUCER COMPANYLIMITED,Active,Private,Company limited by Shares,Non-govt company,30-01-20,Manipur,1000000,100000,1100,"Agriculture, hunting and related service activities","C/O THE GREEN FOUNDATION IED-I, 230141, 17-A-16/3 KWAKEITHEL AWANG THIYAM LEIKAI IMPHAL , West Imphal Unclassified MN 795001",RoC-Shillong,ougricpl@gmail.com,NA,NA,,,
U01100MN2020PTC014041,TAMENGLONG FARMERS PRODUCER COMPANYLIMITED,Active,Private,Company limited by Shares,Non-govt company,31-01-20,Manipur,1000000,100000,1100,"Agriculture, hunting and related service activities","c/o. ID Kaipisinnang, EDEN HILL Tamenglong, Ward no II Part VI TAMENGLONG , Tamenglong Unclassified MN 795141",RoC-Shillong,cspuinachandra@gmail.com,NA,NA,,,
U01100MN2020PTC014047,MANGJIL AGRO FARMERS PRODUCER COMPANYLIMITED,Active,Private,Company limited by Shares,Non-govt company,05-02-20,Manipur,1000000,800000,1100,"Agriculture, hunting and related service activities","SALAM SORIJINI DEVI, D/O. S. N. SINGH 2ND FLOOR, URIPOK NAOREMTHONG LEIKAI IMPHAL WEST , West Imphal Unclassified MN 795001",RoC-Shillong,bmtaxation2017@gmail.com,NA,NA,,,
U01100MN2020PTC014052,CHAKPI ORGANIC PRODUCER COMPANY LIMITED,Active,Private,Company limited by Shares,Non-govt company,14-02-20,Manipur,1000000,110000,1100,"Agriculture, hunting and related service activities","C/O THE GREEN FOUNDATION IED-I, 230141, 17-A-16/3 KWAKEITHEL AWANG THIYAM LEIKAI IMPHAL , West Imphal Unclassified MN 795001",RoC-Shillong,ougricpl@gmail.com,NA,NA,,,
U01100MN2020PTC014061,NESEED ORGANIC SPICES PRODUCER COMPANYLIMITED,Active,Private,Company limited by Shares,Non-govt company,24-02-20,Manipur,1000000,1000000,1100,"Agriculture, hunting and related service activities","403/LL, RENGKAI ROAD PO&PS CHURACHANDPUR CHURACHANDPUR , Churachandpur Unclassified MN 795128",RoC-Shillong,LALVAIPHEI1@GMAIL.COM,NA,NA,,,
U01100MN2020PTC014079,UYONG PHEE PRODUCER COMPANY LIMITED,Active,Private,Company limited by Shares,Non-govt company,15-05-20,Manipur,1000000,100000,1100,"Agriculture, hunting and related service activities","c/o nepram babita devi heingang makha leikai,heingnag imphal west , East Imphal Unclassified MN 795002",RoC-Shillong,cspuinachandra@gmail.com,NA,NA,,,
U01100MN2020PTC014088,RANAA WEAVE PRODUCER COMPANY LIMITED,Active,Private,Company limited by Shares,Non-govt company,16-06-20,Manipur,1000000,10000,1100,"Agriculture, hunting and related service activities","C/O. ANGDAWNSANG KHALING KHANGSIM MACHI, CHANDEL chandel , Chandel Unclassified MN 795127",RoC-Shillong,cspuinachandra@gmail.com,NA,NA,,,
U01100MN2020PTC014090,LEMLEI AGRO AND FOOD INDUSTRIES PRIVATELIMITED,Active,Private,Company limited by Shares,Non-govt company,18-06-20,Manipur,1000000,1000000,1100,"Agriculture, hunting and related service activities","Moirangkhom Chingakham Leikai Imphal West Imphal , West Imphal Unclassified MN 795001",RoC-Shillong,liza12wahengbam@gmail.com,NA,NA,,,
U01100MN2020PTC014093,SORAREN AGRO PRODUCTS PRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,22-06-20,Manipur,100000,100000,1100,"Agriculture, hunting and related service activities","C/O ELANGBAM BIKRAMJIT SINGH, 152, HIYANGLAM AWANG LEIKAI KAKCHING , West Imphal Unclassified MN 795103",RoC-Shillong,client@legalraasta.com,NA,NA,,,
U01100MN2020PTC014099,LAMJING MEIRA FARMER PRODUCER COMPANYLIMITED,Active,Private,Company limited by Shares,Non-govt company,06-07-20,Manipur,500000,100000,1100,"Agriculture, hunting and related service activities","G-1, TOP SIMPHAL MAKHA LEIKAL WAMGOI, IMPHAL WEST IMPHAL , West Imphal Unclassified MN 795009",RoC-Shillong,ebsingh@gmail.com,NA,NA,,,
U01100MN2020PTC014112,SILHEIBI PRODUCER COMPANY LIMITED,Active,Private,Company limited by Shares,Non-govt company,22-07-20,Manipur,1000000,100000,1100,"Agriculture, hunting and related service activities","c/o. oinam romesh singh, c/o. o khomei s auto parking yairipok bishnunaha imphal , East Imphal Unclassified MN 795001",RoC-Shillong,cspuinachandra@gmail.com,NA,NA,,,
U01100MN2020PTC014114,SAIYON PRODUCER COMPANY LIMITED,Active,Private,Company limited by Shares,Non-govt company,23-07-20,Manipur,1000000,100000,1100,"Agriculture, hunting and related service activities","C/O. KH THOIBA SINGH, IED-II IED-II, 13-D-E'1, NINGOMTHONG SINGJAMEI , West Imphal Unclassified MN 795003",RoC-Shillong,CSPUINACHANDRA@GMAIL.COM,NA,NA,,,
U01100MN2020PTC014130,JIRI-BARAK FARMERS PRODUCER COMPANYLIMITED,Active,Private,Company limited by Shares,Non-govt company,25-08-20,Manipur,1500000,100000,1100,"Agriculture, hunting and related service activities","05 POUSING MAKAMLONG, NH 37 BIDYANAGAR HILGHAT, JIRIBAM (DAG-565, PATTA-255/97) JIRIBAM , East Imphal Unclassified MN 795115",RoC-Shillong,jiribarakfarmersproducer@gmail.com,NA,NA,,,
U01100MN2020PTC014132,ERAMDAM SANGDAI PRODUCER COMPANY LIMITED,Active,Private,Company limited by Shares,Non-govt company,25-08-20,Manipur,1500000,710000,1100,"Agriculture, hunting and related service activities","C/O Hijam Renu Devi, House No 114 Uripok Polem Leikai Imphal , West Imphal Unclassified MN 795001",RoC-Shillong,eramdamsangdai@gmail.com,NA,NA,,,
U01100MN2020PTC014133,NONGLON PRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,26-08-20,Manipur,1000000,700000,1100,"Agriculture, hunting and related service activities","HOUSE No. 17 SINGJAMEI WANGMA BHEIGYABATI LEIKAI MANIPUR IMPHAL , East Imphal Unclassified MN 795005",RoC-Shillong,BMTAXATION2019@GMAIL.COM,NA,NA,,,
U01100MN2020PTC014135,3PR LIONZ PRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,29-08-20,Manipur,1000000,400000,1100,"Agriculture, hunting and related service activities","CHINGMEIRONG MAMANG LEIKAI H.NO. IED-IV PO/PS IMPHAL EAST MANIPUR 795001 IMPHAL , East Imphal Unclassified MN 795001",RoC-Shillong,bmtaxation2019@gmail.com,NA,NA,,,
U01100MN2020PTC014153,MING LAI PRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,22-09-20,Manipur,1000000,100000,1100,"Agriculture, hunting and related service activities","C/O. MR. B LALHARI SHARMA, IED-I, IED-IV, 135-16-NC, MANTRIPUKHRI IMPHAL , East Imphal Unclassified MN 795010",RoC-Shillong,KUNJACMSPL@GMAIL.COM,NA,NA,,,
U01100MN2020PTC014155,LAIJA FARMERS PRODUCER COMPANY LIMITED,Active,Private,Company limited by Shares,Non-govt company,24-09-20,Manipur,1000000,100000,1100,"Agriculture, hunting and related service activities","C/O SOIBAM BOMBOM MEITEI, NINGOMBAM MAKHA LEIKAI IMPHAL WEST IMPHAL , West Imphal Unclassified MN 795003",RoC-Shillong,irdeo.manipur@gmail.com,NA,NA,,,
U01100MN2020PTC014185,RJV VICTO INDUSTRIES PRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,06-11-20,Manipur,1000000,500000,1100,"Agriculture, hunting and related service activities","231570B0012 Bashikhong, Bashikhong North Bashikhong Road, Meira Club, Imphal , East Imphal Unclassified MN 795008",RoC-Shillong,victoindustries@gmail.com,NA,NA,,,
U01100MN2021OPC014253,TANTANGA ENSEMBLE (OPC) PRIVATE LIMITED,Active,Private(One Person Company),Company limited by Shares,Non-govt company,19-02-21,Manipur,500000,200000,1100,"Agriculture, hunting and related service activities","DEWLAHLAND HOUSE NO-38 REVENUE VILLAGE SL NO-33,26 A PORORMPAT SDC,IMPHAL MANIPUR , East Imphal Unclassified MN 795001",RoC-Shillong,AITF2413@GMAIL.COM,NA,NA,,,
U01110MN2017PTC013555,LOULHOUMI ORGANIC PRODUCER COMPANYLIMITED,Active,Private,Company limited by Shares,Non-govt company,01-08-17,Manipur,1500000,350500,1110,"Agriculture, hunting and related service activities","SABUAL VILLAGE TIPAIMUKH ROAD CHURACHANDPUR , Churachandpur Unclassified MN 795128",RoC-Shillong,micklian@yahoo.co.in,31-03-20,31-03-20,,,
U01110MN2018PTC013649,MAHISHI MULTI FARMERS PRODUCER COMPANYLIMITED,Active,Private,Company limited by Shares,Non-govt company,02-04-18,Manipur,100000,100000,1110,"Agriculture, hunting and related service activities","C/o Thiam Bineeta Devi Uripok Haobam Dewan Leikai P/O, P/S, Imphal , West Imphal Unclassified MN 795001",RoC-Shillong,pcsvaibhavgarg@gmail.com,31-03-19,31-03-19,,,
U01110MN2018PTC013694,TAMPAK FARMERS PRODUCER COMPANY LIMITED,Active,Private,Company limited by Shares,Non-govt company,18-06-18,Manipur,1000000,100000,1110,"Agriculture, hunting and related service activities","RAJKUMARI RAJESHWARI W/O M. HOMESHWOR KONGPAL KONGKHAM LEIKAI IMPHAL , East Imphal Unclassified MN 795005",RoC-Shillong,mhomeshwor2018@gmail.com,NA,NA,,,
U01110MN2018PTC013759,HEINGANG EDUCATED FARMERS PRODUCERCOMPANY LIMITED,Active,Private,Company limited by Shares,Non-govt company,25-10-18,Manipur,1000000,33000,1110,"Agriculture, hunting and related service activities","C/O. NONGTHOMBAM IRABOT SINGH, IED-IV 148-6NA, KHABAM MANING LEIKAI, PO - MANTRIPUKHRI , East Imphal Unclassified MN 795002",RoC-Shillong,ougricpl@gmail.com,NA,NA,,,
U01110MN2019PTC013807,LAMJINGBA ARTISIANS PRODUCER COMPANYLIMITED,Active,Private,Company limited by Shares,Non-govt company,01-02-19,Manipur,1000000,120000,1110,"Agriculture, hunting and related service activities","PARSAIN VILLAGE PO KALAPAHAR, SADAR HILLS SENAPATI , Senapati Unclassified MN 795122",RoC-Shillong,pcsvaibhavgarg@gmail.com,NA,NA,,,
U01110MN2020PTC014166,INDI HILLS PRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,14-10-20,Manipur,100000,100000,1110,"Agriculture, hunting and related service activities","C/O WUNGNAOSHANG KASAR VILLAGE CHADONG CHADONG , Ukhrul Unclassified MN 795145",RoC-Shillong,eitcompliance2020@gmail.com,NA,NA,,,
U01110MN2020PTC014188,KOROU FARMERS PRODUCER COMPANY LIMITED,Active,Private,Company limited by Shares,Non-govt company,10-11-20,Manipur,1500000,50000,1110,"Agriculture, hunting and related service activities","C/O KHUMUKCHAM NANDO SINGH KAKCHING KHUNOU KAKCHING , Thoubal Unclassified MN 795103",RoC-Shillong,CSPUINACHANDRA@GMAIL.COM,NA,NA,,,
U01110MN2020PTC014193,CHING TAM VENTURES PRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,19-11-20,Manipur,5000000,1000000,1110,"Agriculture, hunting and related service activities","C/O Shougrakpam Amorjit Singh, Samushang Shantipur Awang Leikai, PO/ PS Wangoi IMPHAL , West Imphal Unclassified MN 795009",RoC-Shillong,mloitongbam29@gmail.com,NA,NA,,,
U01110MN2020PTC014218,KANGPOKPI FARMERS PRODUCER COMPANYLIMITED,Active,Private,Company limited by Shares,Non-govt company,18-12-20,Manipur,1500000,50000,1110,"Agriculture, hunting and related service activities","c/o. LANMEITHANG KHONGSAI KANGPOKPI WARD NO 14 IT ROAD NEAR POLICE GATE KANGPOKPI , Senapati Unclassified MN 795129",RoC-Shillong,CSPUINACHANDRA@GMAIL.COM,NA,NA,,,
U01110MN2021PTC014235,HEEYAI FOOD PROCESSING PRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,19-01-21,Manipur,1000000,100000,1110,"Agriculture, hunting and related service activities","C/O. S. RAMESHWOR SINGH, GRACE COLONY, I MSPDCL IMPHAL ELECTRICAL, DIVISION 2(LED IMPHAL , West Imphal Unclassified MN 795004",RoC-Shillong,KUNJACMSPL@GMAIL.COM,NA,NA,,,
U01110MN2021PTC014247,HAO AGRO FORESTRY PRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,09-02-21,Manipur,1000000,30000,1110,"Agriculture, hunting and related service activities","MR. H NGATANGMI ANSENRA, KHAMBI VILLAGE KHAMBI UKHRUL UKHRUL , Ukhrul Unclassified MN 795145",RoC-Shillong,KUNJACMSPL@GMAIL.COM,NA,NA,,,
U01111MN2017PTC013563,THAYONG ORGANIC PRODUCER COMPANY LIMITED,Active,Private,Company limited by Shares,Non-govt company,22-08-17,Manipur,1000000,100000,1111,"Agriculture, hunting and related service activities","C/O. GREEN FOUNDATION KWAKEITHEL AWANG THIYAM LEIKAI IMPHAL , West Imphal Unclassified MN 795001",RoC-Shillong,surjitthiyam7@gmail.com,31-03-20,31-03-20,,,
U01111MN2019PTC013991,LAMYANBA AGRO AND HORTICULTURE PRIVATELIMITED,Active,Private,Company limited by Shares,Non-govt company,13-12-19,Manipur,200000,100000,1111,"Agriculture, hunting and related service activities","H.No. 38, Thoubal Achouba Bazar, Makha PO/PS Thoubal Ward No. 8, Thoubal (MCI) THOUBAL , Thoubal Unclassified MN 795138",RoC-Shillong,pcsvaibhavgarg@gmail.com,NA,NA,,,
U01111MN2020PTC014156,HEFO ORGANO VALLEY PRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,25-09-20,Manipur,1500000,100000,1111,"Agriculture, hunting and related service activities","C/O. N. ROMEO SINGH IED-I, 227237, 8-A-73/8 (YKS), SAGOLBAND IMPHAL , West Imphal Unclassified MN 795001",RoC-Shillong,ougricpl@ougriconsultants.com,NA,NA,,,
U01113MN2017PTC013531,GAITHAO PRODUCER COMPANY LIMITED,Active,Private,Company limited by Shares,Non-govt company,16-05-17,Manipur,1500000,220000,1113,"Agriculture, hunting and related service activities","LONGMAI BAZAR PO&PS - LONGMAI LONGMAI , Tamenglong Unclassified MN 795159",RoC-Shillong,ougricpl@gmail.com,NA,NA,,,
U01113MN2017PTC013542,CHAK-HAO POIREITON ORGANIC PRODUCERCOMPANY LIMITED,Active,Private,Company limited by Shares,Non-govt company,24-06-17,Manipur,1000000,506000,1113,"Agriculture, hunting and related service activities","C/O. GREEN FOUNDATION KWAKTHEITHEL AWANG THIYAM LEIKAI IMPHAL WEST , West Imphal Unclassified MN 795001",RoC-Shillong,chakhaopoireiton@gmail.com,31-03-19,31-03-19,,,
U01113MN2019PTC013798,YAOWL PRODUCER COMPANY LIMITED,Active,Private,Company limited by Shares,Non-govt company,15-01-19,Manipur,100000,100000,1113,"Agriculture, hunting and related service activities","C/O Thokchom Nelson Uripok Kangchup Road, 2nd Floor, Fancy Enterprises Imphal West , West Imphal Unclassified MN 795001",RoC-Shillong,pcsvaibhav@gmail.com,31-03-20,31-03-20,,,
U01114MN2017PTC013588,PROGRESSIVE ORGANIC PRODUCER COMPANYLIMITED,Active,Private,Company limited by Shares,Non-govt company,13-10-17,Manipur,1000000,110000,1114,"Agriculture, hunting and related service activities","C/O. GREEN FOUNDATION KWAKEITHEL AWANG THIYAM LEIKAI IMPHAL , West Imphal Unclassified MN 795001",RoC-Shillong,ougricpl@gmail.com,31-03-18,31-03-18,,,
U01114MN2019NPL013834,UKHRUL FARMERS DEVELOPMENT FOUNDATION,Active,Private,Company limited by Shares,Non-govt company,14-03-19,Manipur,100000,100000,1114,"Agriculture, hunting and related service activities","C/O YARSHO KEISHING, 320-4-NC-2/11 NAGARAM B BLOCK IMPHAL , East Imphal Unclassified MN 795001",RoC-Shillong,angam_ningshen@yahoo.co.uk,NA,NA,,,
U01114MN2019PTC013839,SHEPOUMARAMTH FARMER PRODUCER COMPANYLIMITED,Active,Private,Company limited by Shares,Non-govt company,26-03-19,Manipur,1000000,800000,1114,"Agriculture, hunting and related service activities","C/O. S. P. PAUL SENAPATI TOOL GATE (MAKHRELUI) SENAPATI , Senapati Unclassified MN 795106",RoC-Shillong,ougricpl@gmail.com,31-03-20,31-03-20,,,
U01114MN2020PTC014086,KILPAS PRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,10-06-20,Manipur,100000,100000,1114,"Agriculture, hunting and related service activities","C/O THIYAM INAO DEVI, VILLAGE NO.121 THIYAM KUNJIL MANING LEIKIMPHAL IMPHAL , East Imphal Unclassified MN 795003",RoC-Shillong,cspuinachandra@gmail.com,NA,NA,,,
U01119MN1985PTC002393,EASTERN AGRO FARMS PVT LTD,Active,Private,Company limited by Shares,Non-govt company,19-07-85,Manipur,100000,100000,1119,"Agriculture, hunting and related service activities","THANGMEIBAND IMPHAL , Unclassified MN 795001",RoC-Shillong,NA,31-03-20,31-03-20,,,
